,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
9723,1137613553,CR7Selfie,86294528,USD,1.99,12,0,5,0,1.2,4+,Photo & Video,37,0,1,1
4475,983613658,M Cam - Manual controls & custom exposure camera,15116288,USD,1.99,11,5,3.5,3.5,1.1,4+,Photo & Video,37,0,6,1
1736,554064861,Jメール 出会える人気の匿名SNS出会い系アプリ,27784192,USD,0,11,0,3.5,0,3.3.1,17+,Social Networking,37,0,2,1
1330,492671847,NightShooting,28900352,USD,0,9,0,2.5,0,3.1,4+,Photo & Video,38,3,2,1
8775,1116320580,"自动证件照 - 智能证件照相机美图美颜编辑,制作学生证件照",9305088,USD,0.99,9,8,3,3,2.2,4+,Photo & Video,38,0,1,1
4609,992047786,Analog Wedding,18767872,USD,0.99,8,6,4,3.5,1.0.7,4+,Photo & Video,43,5,5,1
5378,1035219553,Analog London,18984960,USD,0.99,7,7,5,5,1.0.7,4+,Photo & Video,43,5,5,1
3117,867887231,botman - Real time video chat,86319104,USD,0,7,0,3,0,2017.5.1,17+,Social Networking,37,5,2,1
7468,1087422283,Akuarella,99978240,USD,1.99,7,7,5,5,1.2.1,17+,Photo & Video,37,4,2,1
734,409299054,SecurityCam for iPhone,10469376,USD,0.99,6,1,1,1,1.131,4+,Photo & Video,39,0,2,1
2696,747779910,MixChannel,109877248,USD,0,6,0,4,0,5.0.5,17+,Photo & Video,37,0,29,1
5380,1035220162,Analog Budapest,19247104,USD,0.99,6,6,4.5,4.5,1.0.7,4+,Photo & Video,43,5,5,1
2648,733144873,秀色秀场-网红直播 聊天交友,88574976,USD,0,6,0,2.5,0,8.0.8,17+,Social Networking,37,0,2,1
2439,674385418,Automo Camera,16912384,USD,0.99,5,1,4.5,3,2.54,4+,Photo & Video,40,5,2,1
7073,1079094909,Custom Cam,17545216,USD,1.99,5,0,1.5,0,2.0.3,4+,Photo & Video,37,0,1,1
5759,1048899002,Simple Camera - Fast Minimal Design,74435584,USD,0,3,3,5,5,3.0.1,4+,Photo & Video,37,5,2,1
7567,1089386287,非诚勿扰-中国最大免费婚恋交友平台,12932096,USD,0,3,3,3.5,3.5,5.6.0,17+,Social Networking,38,0,1,1
6248,1062307524,Lightsaber Camera,16411648,USD,0.99,2,2,4,4,1.1.1,4+,Photo & Video,40,0,2,1
7826,1094744773,"SwapperFace - Face Swap Free, Live Mask Effects",117949440,USD,0,2,2,4.5,4.5,1.2,9+,Photo & Video,37,0,11,1
4940,1013551921,Video Smith - A Powerful video editing tool set,39056384,USD,0,1,1,5,5,1.2,4+,Photo & Video,37,0,2,1
5183,1026717130,病みカワカメラ,42884096,USD,0,1,1,5,5,1.0.6,12+,Photo & Video,38,0,1,1
6371,1065354746,Video speed editor - VBooster,46454784,USD,0,1,1,1,1,2.2,4+,Photo & Video,37,1,1,1
6701,1071516797,"DSLR Lens Kit ,RAW files and Dual-lens supported",2689024,USD,1.99,1,1,4,4,1.2.3,4+,Photo & Video,37,0,2,1
4194,966099615,ピグパーティ - きせかえ?アバターで楽しむトークアプリ,102996992,USD,0,1,1,1,1,1.28.1,4+,Social Networking,38,5,1,1
7142,1080541663,美播 - 玩不尽的真人游戏,248061952,USD,0,1,1,5,5,8.7.1,17+,Social Networking,37,4,2,1
8004,1098834577,Todrick,18373632,USD,0.99,1,1,5,5,1.1,12+,Social Networking,37,0,1,1
10288,1156413671,LINE Moments - Capture Your Fun Moments,133572608,USD,0,1,1,5,5,1.2.1,4+,Photo & Video,37,0,6,1
825,422845617,OneCam,4324352,USD,1.99,0,0,0,0,5.7.0,4+,Photo & Video,37,0,2,1
2791,777630969,FilmStory Pro - For All Your Video Editing Needs,80793600,USD,3.99,0,0,0,0,2.5,4+,Photo & Video,37,2,5,1
3188,879908394,Starry sky Camera,10113024,USD,1.99,0,0,0,0,3.2,4+,Photo & Video,37,2,2,1
3278,890722494,Instant X - Take instant-camera-like photo with double exposure and bulb mode,8614912,USD,0,0,0,0,0,1.0.4,4+,Photo & Video,40,0,1,1
3321,894225691,花火撮影 notepad Lite,73746432,USD,0,0,0,0,0,2.4.7,4+,Photo & Video,38,0,1,1
3354,897880328,EOPAN,34338816,USD,0,0,0,0,0,2.2.0,4+,Photo & Video,37,1,2,1
3429,906388170,StageCameraPro - Manners video and photo,3661824,USD,1.99,0,0,0,0,2.5.0,4+,Photo & Video,35,0,2,1
3502,912177018,StageCameraHD,7755776,USD,0,0,0,0,0,2.7.1,4+,Photo & Video,35,0,2,1
3674,928359827,MeiCam -  Video Production Master,133684224,USD,0,0,0,0,0,2.6.3,4+,Photo & Video,38,5,2,1
3739,933687137,年賀状2018｜おしゃれなスマホで写真年賀状2018,76815360,USD,0,0,0,0,0,5.5.0,4+,Photo & Video,38,0,2,1
3912,948090890,MoonCatcher,8497152,USD,0.99,0,0,0,0,11,4+,Photo & Video,37,0,2,1
4646,994046673,伙星 - 随手拍出明星一样的MV,118812672,USD,0,0,0,0,0,3.5.2,12+,Photo & Video,37,0,3,1
5148,1024395159,myINK sketch,90249216,USD,2.99,0,0,0,0,3.2.6,17+,Photo & Video,38,1,1,1
5222,1028791881,Photograph+,23192576,USD,0.99,0,0,0,0,1.4,4+,Photo & Video,37,0,31,1
5836,1051411202,Pictalive for Live Photos - Create from videos,26969088,USD,0,0,0,0,0,1.2,4+,Photo & Video,37,0,2,1
5932,1054297141,誰にもバレない！[秘密のアルバム]　無料で写真をロック！,17935360,USD,0,0,0,0,0,1.0.1,17+,Photo & Video,37,0,8,1
6870,1075068419,"BlurEffect-Blur Photo & Video, Hide Face",43022336,USD,0,0,0,0,0,1.1.1,4+,Photo & Video,37,5,14,1
6906,1076211312,PROF - 共通点で楽しむSNS,119186432,USD,0,0,0,0,0,5.1,17+,Photo & Video,37,5,0,1
629,394342281,Bowitter for iPhone,3174400,USD,0.99,0,0,0,0,1.5.0,4+,Social Networking,43,0,2,1
654,398166286,出会い系アプリ i-Mail（アイメール）,3833856,USD,0,0,0,0,0,2.1.2,17+,Social Networking,43,0,1,1
7523,1088568893,Masks - MSQRD Edition,13214720,USD,0.99,0,0,0,0,1.0.1,9+,Photo & Video,37,0,1,1
1795,562162550,ライブチャット、ビデオチャット通話が楽しめる！ ライブでゴーゴー,32168960,USD,0,0,0,0,0,4.9,17+,Social Networking,40,4,16,1
3236,886059850,Love Msg,9677824,USD,0.99,0,0,0,0,2.8,4+,Social Networking,37,0,3,1
3371,899538562,HONNE -本音が言える匿名つぶやき&チャットアプリ,61312000,USD,0,0,0,0,0,3.3.4,17+,Social Networking,37,0,1,1
3816,940401053,暇なら話そう！誰でも話せて友達も作れる「KoeTomo」,77717504,USD,0,0,0,0,0,3.4.3,17+,Social Networking,37,0,2,1
3938,949817566,出会い無料のチャット掲示板 LINK,26204160,USD,0,0,0,0,0,2.2.0,17+,Social Networking,37,0,2,1
4874,1010174792,一言-记录字句，发现共鸣,32125952,USD,0.99,0,0,0,0,2.2.2,12+,Social Networking,38,0,2,1
4893,1011114397,BestieBox,48274432,USD,0,0,0,0,0,3.2.1,4+,Social Networking,37,0,5,1
5271,1031164407,おチャベリ-ビデオ通話でマッチングアプリ,66080768,USD,0,0,0,0,0,2.7,17+,Social Networking,40,4,1,1
5319,1033049320,出会い応援チャットアプリLIKE YOU,10225664,USD,0,0,0,0,0,1.9,17+,Social Networking,37,0,1,1
5988,1056011241,MATCH ON LINE chat,9462784,USD,0,0,0,0,0,1.3,17+,Social Networking,37,0,1,1
6543,1068353024,同城爱约会-单身男女约会神器,24373248,USD,0,0,0,0,0,2.0.0,17+,Social Networking,37,0,2,1
6558,1068460848,bit-tube - Live Stream Video Chat,44632064,USD,0,0,0,0,0,1.3,12+,Social Networking,37,0,2,1
6613,1069757703,友達 恋人探し であい ちゃっと sns -ギャルとも,35565568,USD,0,0,0,0,0,1.1.1,17+,Social Networking,37,0,1,1
6674,1071039429,マッチング チャット - マッチング&恋人探しチャット,39368704,USD,0,0,0,0,0,1.1.1,17+,Social Networking,37,0,1,1
6676,1071045817,出会い秘密チャット - 相席 出会い系チャット,12906496,USD,0,0,0,0,0,1.1.1,17+,Social Networking,37,0,1,1
6819,1073811368,大人の出会いチャット  - 出会い系 アプリ,15011840,USD,0,0,0,0,0,1.1.1,17+,Social Networking,37,0,1,1
7045,1078542442,FixYou-無料でチャットトークができるSNSマッチングアプリ,44669952,USD,0,0,0,0,0,2.0.0,17+,Social Networking,37,0,2,1
7573,1089516052,洋葱圈—正经人的不正经聊天工具,101316608,USD,0,0,0,0,0,2.7.1,12+,Social Networking,37,5,1,1
7606,1090636013,出会い系無料で遊べるsnsアプリ内緒チャットトーク,14261248,USD,0,0,0,0,0,1,17+,Social Networking,40,0,1,1
7672,1091891746,陌爱神器-不闲聊！陌生人快速约见面平台,44841984,USD,0,0,0,0,0,1.9.0,17+,Social Networking,38,5,1,1
9056,1122366064,CelebrityDiagnosis!,13968384,USD,0,0,0,0,0,1.0.2,4+,Photo & Video,37,0,2,1
7857,1095583219,【完全無料】おとな専用！出会い掲示板,3217408,USD,0,0,0,0,0,1.0.2,17+,Social Networking,37,0,0,1
7918,1096964165,【完全無料】ソク出会える！ひみつフレ探し掲示板,13287424,USD,0,0,0,0,0,1,17+,Social Networking,37,0,1,1
9488,1132774393,Light+ AnalogCam,47337472,USD,0.99,0,0,0,0,1,4+,Photo & Video,37,0,31,1
7951,1097492828,NOW直播—腾讯旗下全民直播平台,113596416,USD,0,0,0,0,0,1.11.1,17+,Social Networking,37,0,1,1
8056,1100160696,BiBi娱乐社区 - 好玩的游戏都在这里！,50778112,USD,0,0,0,0,0,3,17+,Social Networking,38,0,1,1
8560,1112071865,派派激情版-寂陌陌声人交友神器,50076672,USD,0,0,0,0,0,2.5.0,17+,Social Networking,38,0,1,1
10381,1160086118,"Emojil - original emoji stamp, decoration camera",47948800,USD,0,0,0,0,0,1.2.1,4+,Photo & Video,37,0,4,1
8669,1114288419,视吧-全民手机直播,170616832,USD,0,0,0,0,0,2.6,17+,Social Networking,37,0,2,1
10588,1169325682,Bestshot: Take Clear Photos Automatically & Easily,24675328,USD,0.99,0,0,0,0,2.0.2,4+,Photo & Video,37,0,2,1
8814,1116880272,マッチングならSecret- 友達?恋人探しSNS,34893824,USD,0,0,0,0,0,1.2,17+,Social Networking,37,5,1,1
9042,1121967198,ゲーム攻略「SGGP」掲示板、SNSな友達出会い,22735872,USD,0,0,0,0,0,1.1.1,9+,Social Networking,38,0,2,1
9108,1123499004,"求恋爱 专业版-高端恋爱相亲婚恋交友神器,同城寂寞单身男女聊天约会找对象平台",46567424,USD,0.99,0,0,0,0,2.0.0,17+,Social Networking,38,0,1,1
10101,1148502570,niconico ch,55334912,USD,0,0,0,0,0,1.0.9,17+,Social Networking,37,0,2,1
10656,1171367187,LINE BLOG,101159936,USD,0,0,0,0,0,1.5.0,12+,Social Networking,37,0,1,1
11040,1185538497,camera for filter,9362432,USD,0,0,0,0,0,1.0.3,4+,Photo & Video,37,0,1,1
